"Plot Title: 11009652"
"#","Date Time, GMT-06:00","DO conc, mg/L (LGR S/N: 11009652, SEN S/N: 11009652, LBL: DO)","Temp, °F (LGR S/N: 11009652, SEN S/N: 11009652, LBL: Temp)","Coupler Attached (LGR S/N: 11009652)","Host Connected (LGR S/N: 11009652)","Stopped (LGR S/N: 11009652)","End Of File (LGR S/N: 11009652)"
364,12/08/18 01:30:00 PM,8.84,36.46,,,,
365,12/08/18 02:00:00 PM,7.45,36.50,,,,
366,12/08/18 02:30:00 PM,7.60,36.46,,,,
367,12/08/18 03:00:00 PM,7.17,36.46,,,,
368,12/08/18 03:30:00 PM,6.85,36.46,,,,
369,12/08/18 04:00:00 PM,8.05,36.36,,,,
370,12/08/18 04:30:00 PM,8.76,36.36,,,,
371,12/08/18 05:00:00 PM,7.09,36.28,,,,
372,12/08/18 05:30:00 PM,6.97,36.21,,,,
373,12/08/18 06:00:00 PM,6.31,36.28,,,,
374,12/08/18 06:30:00 PM,5.54,36.25,,,,
375,12/08/18 07:00:00 PM,9.28,36.14,,,,
376,12/08/18 07:30:00 PM,7.14,36.32,,,,
377,12/08/18 08:00:00 PM,5.96,36.36,,,,
378,12/08/18 08:30:00 PM,6.22,36.28,,,,
379,12/08/18 09:00:00 PM,5.68,36.39,,,,
380,12/08/18 09:30:00 PM,5.71,36.46,,,,
381,12/08/18 10:00:00 PM,5.94,36.28,,,,
382,12/08/18 10:30:00 PM,6.16,36.36,,,,
383,12/08/18 11:00:00 PM,5.83,36.39,,,,
384,12/08/18 11:30:00 PM,5.54,36.43,,,,
385,12/09/18 12:00:00 AM,5.74,36.39,,,,
386,12/09/18 12:30:00 AM,5.68,36.32,,,,
387,12/09/18 01:00:00 AM,5.91,36.39,,,,
388,12/09/18 01:30:00 AM,5.85,36.36,,,,
389,12/09/18 02:00:00 AM,5.63,36.39,,,,
390,12/09/18 02:30:00 AM,7.37,36.25,,,,
391,12/09/18 03:00:00 AM,6.16,36.43,,,,
392,12/09/18 03:30:00 AM,5.86,36.39,,,,
393,12/09/18 04:00:00 AM,5.66,36.50,,,,
394,12/09/18 04:30:00 AM,5.53,36.46,,,,
395,12/09/18 05:00:00 AM,5.52,36.43,,,,
396,12/09/18 05:30:00 AM,5.76,36.50,,,,
397,12/09/18 06:00:00 AM,6.17,36.61,,,,
398,12/09/18 06:30:00 AM,5.63,36.64,,,,
399,12/09/18 07:00:00 AM,5.84,36.61,,,,
400,12/09/18 07:30:00 AM,5.67,36.68,,,,
401,12/09/18 08:00:00 AM,6.51,36.75,,,,
402,12/09/18 08:30:00 AM,8.94,36.57,,,,
403,12/09/18 09:00:00 AM,8.41,36.46,,,,
404,12/09/18 09:30:00 AM,6.10,36.61,,,,
405,12/09/18 10:00:00 AM,5.66,36.64,,,,
406,12/09/18 10:30:00 AM,6.12,36.50,,,,
407,12/09/18 11:00:00 AM,5.98,36.72,,,,
408,12/09/18 11:30:00 AM,6.31,36.50,,,,
409,12/09/18 12:00:00 PM,5.93,36.68,,,,
410,12/09/18 12:30:00 PM,6.23,36.75,,,,
411,12/09/18 01:00:00 PM,6.33,36.86,,,,
412,12/09/18 01:30:00 PM,5.86,36.75,,,,
413,12/09/18 02:00:00 PM,5.76,36.86,,,,
414,12/09/18 02:30:00 PM,6.55,36.90,,,,
415,12/09/18 03:00:00 PM,6.22,36.90,,,,
416,12/09/18 03:30:00 PM,5.30,36.90,,,,
417,12/09/18 04:00:00 PM,6.18,36.97,,,,
418,12/09/18 04:30:00 PM,7.72,36.72,,,,
419,12/09/18 05:00:00 PM,6.59,36.61,,,,
420,12/09/18 05:30:00 PM,9.02,36.50,,,,
421,12/09/18 06:00:00 PM,6.69,36.57,,,,
422,12/09/18 06:30:00 PM,6.22,36.61,,,,
423,12/09/18 07:00:00 PM,5.81,36.57,,,,
424,12/09/18 07:30:00 PM,6.19,36.57,,,,
425,12/09/18 08:00:00 PM,6.04,36.57,,,,
426,12/09/18 08:30:00 PM,6.00,36.50,,,,
427,12/09/18 09:00:00 PM,5.86,36.61,,,,
428,12/09/18 09:30:00 PM,6.16,36.61,,,,
429,12/09/18 10:00:00 PM,6.14,36.57,,,,
430,12/09/18 10:30:00 PM,6.13,36.61,,,,
431,12/09/18 11:00:00 PM,6.10,36.57,,,,
432,12/09/18 11:30:00 PM,5.93,36.57,,,,
433,12/10/18 12:00:00 AM,6.12,36.64,,,,
434,12/10/18 12:30:00 AM,5.43,36.68,,,,
435,12/10/18 01:00:00 AM,5.66,36.61,,,,
436,12/10/18 01:30:00 AM,5.97,36.64,,,,
437,12/10/18 02:00:00 AM,5.74,36.68,,,,
438,12/10/18 02:30:00 AM,5.97,36.64,,,,
439,12/10/18 03:00:00 AM,5.71,36.64,,,,
440,12/10/18 03:30:00 AM,5.59,36.64,,,,
441,12/10/18 04:00:00 AM,5.94,36.57,,,,
442,12/10/18 04:30:00 AM,6.12,36.68,,,,
443,12/10/18 05:00:00 AM,5.54,36.75,,,,
